paper_id,keywords_id
1,41
1,3
1,1527
1,1019
1,63
6,9942
6,119
6,85222
6,405
6,85221
8,39654
8,39656
8,574
10,85220
10,85219
10,85217
12,46
12,115
12,0
12,44
12,6
13,85210
13,85216
17,86
17,5133
17,40
17,713
17,308
17,10111
17,27
18,4236
18,292
18,85215
19,117
19,2900
19,392
19,85214
20,1129
20,43546
20,8132
20,43548
20,1
21,499
21,3122
21,1501
21,43550
21,43551
21,2662
23,797
23,13
23,394
23,362
27,770
27,50098
27,1200
27,2319
27,50803
32,85213
32,85212
32,85211
39,13
39,3527
39,2
39,135
41,40850
41,60
41,7
43,30
43,85225
43,85226
43,71
44,84
44,2829
44,237
44,817
44,268
44,1812
44,573
44,1306
44,35
44,126
45,52440
45,52441
45,1
45,52442
45,52443
45,596
49,14219
49,595
49,289
49,374
49,208
49,45862
50,85227
50,85228
51,1272
51,85229
51,35
51,23
52,45857
52,271
52,45856
52,723
52,45851
57,303
57,155
57,407
57,91
61,711
61,295
61,85230
64,3552
64,12030
64,3552
64,12030
67,2393
67,120
67,11912
67,0
67,6948
67,411
68,152
68,7845
68,1770
68,0
68,45
71,85231
71,30
71,85232
74,41692
74,41691
74,35
74,71
75,298
75,38
75,1
75,14
75,4
76,85233
76,1872
76,150
76,173
76,176
77,20
77,40851
77,28
77,40852
80,62978
80,235
80,62977
80,6
82,2105
82,3013
82,117
82,12
82,234
82,3277
82,0
82,779
82,196
82,314
84,12
84,85234
84,85235
84,5384
90,1689
90,113
90,6782
90,193
94,52444
94,400
94,628
94,4311
94,7160
94,1733
94,10534
102,22
102,43552
102,0
102,890
102,841
104,2441
104,0
104,80
104,62976
104,114
107,21
107,424
107,257
107,227
107,382
107,300
113,383
113,85236
113,565
113,286
118,334
118,32
118,202
118,14
118,716
124,52445
124,9
124,0
124,1917
124,73
129,1245
129,85237
132,152
132,1739
132,7
134,745
134,34
134,85239
134,65
134,131
135,43585
135,43523
135,588
135,1122
135,2577
136,85240
136,85241
138,9793
138,290
138,33
140,14
140,370
140,182
140,155
140,447
141,43586
141,3732
141,1212
141,43588
142,43622
142,43623
142,43624
142,427
142,6
142,42
144,58
144,43626
144,3
144,1581
144,43627
146,85209
146,85139
146,1311
146,85138
146,85137
147,11889
147,3
147,85049
147,36
147,1672
148,1538
148,0
148,45
148,2
148,3575
148,11928
148,109
148,440
151,7365
151,17152
151,530
151,15381
153,384
153,82
153,86
153,50
153,122
153,29
153,9918
158,41215
158,15
158,97
158,133
158,2259
159,85048
159,2
159,1214
159,154
159,94
161,1854
161,5
161,43628
161,43630
161,43631
162,7868
162,603
162,14
162,197
162,1092
165,843
165,14
165,182
165,698
165,307
165,119
174,10535
174,4981
174,89
174,18547
174,3854
180,85047
180,85046
188,28336
188,0
188,28335
188,319
188,2
190,85045
190,116
190,40
190,1188
190,85044
191,3654
191,650
191,18
192,17459
192,13
192,74
192,1016
192,3440
192,6871
197,948
197,85042
198,1210
198,11
198,4
198,50
201,4848
201,85035
202,222
202,85041
202,700
202,877
206,10536
206,371
206,10541
206,10543
206,1864
206,1333
208,842
208,808
208,25
208,113
208,26
210,6
210,19
210,1049
210,34
212,85040
212,11939
212,156
212,12175
212,7
217,660
217,0
217,52447
217,546
218,5491
218,85039
218,2117
218,2365
218,4832
220,40853
220,40854
220,774
220,19
227,356
227,1238
227,3224
227,62975
228,7103
228,43632
228,1970
228,13997
228,2806
229,1200
229,62974
229,62973
229,62971
229,341
231,125
231,43634
231,2396
231,659
231,43621
232,0
232,486
232,1068
232,9853
234,85037
234,85036
236,192
236,150
236,7
236,85050
236,9799
236,85051
236,85052
239,555
239,62964
239,115
239,161
244,3248
244,3024
244,2011
244,85053
244,315
244,12239
246,85054
246,85055
246,11
246,322
246,10
247,3644
247,47
247,12312
247,91
247,1433
247,1748
248,4407
248,9364
248,2730
248,62970
248,167
249,85056
249,85057
249,49
249,366
249,1741
258,184
258,52448
258,171
258,326
258,2325
260,8962
260,40855
260,40856
260,131
260,40857
267,43635
267,43637
267,639
267,8140
267,2840
267,69
269,3436
269,586
269,107
269,85
269,72
272,0
272,52
272,128
272,85058
272,9
275,7547
275,130
275,330
275,153
275,0
275,325
278,13702
278,40860
278,59
278,40862
278,3703
282,1231
282,18015
282,34
282,1196
287,2
287,12170
287,0
287,12144
289,5826
289,4925
289,40864
289,285
293,434
293,4111
293,6113
293,12733
293,305
296,207
296,278
296,269
296,85059
299,4123
299,0
299,1471
299,645
299,545
302,3
302,1267
302,148
302,293
302,2833
302,631
302,5594
303,32
303,1664
303,1161
303,2268
303,995
303,101
307,5752
307,5754
308,85060
308,85061
308,97
308,85062
308,85063
309,126
309,347
309,1
309,87
309,4747
310,21
310,243
310,390
310,149
310,538
310,186
311,7463
311,52449
312,57
312,1892
312,236
312,88
312,193
313,52450
313,0
313,52451
319,5617
319,128
319,0
319,2
324,18
324,27
324,4
324,18599
324,18606
325,3843
325,18142
325,314
325,7402
325,2564
328,85064
328,7
328,66
328,213
328,128
332,15796
332,1861
332,3359
332,42911
332,42910
336,5632
336,1966
336,22
336,1143
337,0
337,2063
337,9
337,2
338,379
338,3747
338,40
338,12
338,1432
346,38
346,2543
346,342
348,0
348,85066
348,98
348,9955
353,118
353,126
353,9408
353,43639
353,228
353,1
353,7589
355,24
355,115
355,38277
355,3
355,38270
358,45850
358,717
358,0
358,480
358,761
360,93
360,1274
360,2585
360,1219
363,62969
363,680
363,1003
363,9363
363,259
363,1478
363,1207
364,2
364,151
364,3
364,8609
364,43640
367,85043
367,85034
371,17536
371,30
371,5547
371,7819
371,85033
371,85032
371,85013
371,85012
371,459
371,85011
371,85010
374,9362
374,1225
374,68
374,0
374,44
383,0
383,52
383,464
383,706
383,1804
385,182
385,45774
385,13105
385,45768
385,231
385,7682
387,642
387,15
387,2
387,7460
387,52452
387,52429
389,49
389,1215
389,850
389,2590
389,176
392,41722
392,171
392,41724
392,14054
396,21
396,287
396,3621
396,211
396,56
401,531
