source,target
24007,37257
24007,21093
24007,113605
24007,94694
24007,17866
24007,127225
24007,69444
24007,126946
24007,100422
24007,92112
24007,78997
24007,77714
24007,18612
24007,90266
24007,22458
24007,73564
24007,69401
24007,48578
24007,15033
24007,62054
59591,59538
59591,92711
59591,19424
59591,66692
59591,80660
59591,89979
59591,98004
59591,104772
59591,112789
59591,12745
59591,47047
59591,45333
59591,25523
59591,62432
59591,26590
59591,46436
59591,65739
59591,46073
59591,73445
59591,83198
59591,91967
59591,19997
59591,106739
59591,114494
59591,118063
59591,23309
59591,125042
59591,106247
59591,126173
59591,91764
59591,116581
59591,5638
44798,110637
67799,110637
1950,110637
68225,110637
107871,110637
59593,110637
59099,110637
11661,110637
13575,110637
25398,110637
107867,110637
5665,110637
1498,110637
53567,110637
61563,110637
116027,110637
16136,110637
114994,110637
10410,110637
98036,110637
22380,110637
52531,110637
121406,110637
35527,110637
69409,110637
93247,110637
100626,110637
49768,110637
120852,110637
32162,110637
57071,110637
35625,110637
7190,110637
16616,110637
112794,110637
39890,110637
63515,110637
91810,110637
34599,110637
38040,110637
76229,110637
836,110637
11566,110637
72066,110637
34598,110637
110637,111705
110637,71618
110637,94518
110637,107606
110637,40803
110637,47324
110637,13021
110637,55177
110637,39017
110637,45724
110637,24784
110637,68724
110637,110351
110637,104624
110637,112724
110637,15777
110637,54818
110637,76184
110637,63581
110637,8779
110637,70314
110637,75389
110637,17699
110637,9363
110637,48
110637,88128
110637,41816
110637,116200
110637,19224
102792,48058
9489,48058
48058,33252
48058,10087
48058,6959
48058,41308
48058,67388
48058,27138
48058,56703
48058,65706
48058,95695
30522,54700
54700,67487
54700,118371
54700,21733
54700,117370
54700,31974
54700,20813
54700,20439
54700,109678
54700,82092
54700,68377
54700,32647
54700,6321
54700,64166
54700,127584
54700,82899
54700,75971
54700,45421
54700,23306
30120,41058
13933,41058
32002,41058
41058,107455
41058,8127
41058,21491
41058,93448
41058,52723
41058,116242
41058,62432
41058,71459
41058,121688
41058,62093
41058,24841
41058,9773
41058,53324
41058,98754
41058,30651
41058,119987
41058,114165
41058,124730
41058,94125
90179,36628
90179,66030
90179,18998
90179,6236
90179,36967
90179,25456
90179,68391
90179,126934
90179,91848
90179,69809
90179,109805
90179,8440
90179,74646
90179,36641
90179,78895
67127,18561
98099,32321
98099,105782
98099,69579
98099,76767
98099,124134
98099,49352
98099,85341
98099,40614
98099,93990
33566,8677
7339,8677
118822,8677
39597,8677
67858,8677
64704,8677
8677,73133
8677,54728
8677,28018
8677,50539
8677,66181
8677,115066
8677,44961
8677,36817
98255,42729
42729,100438
42729,49289
42729,21692
42729,87248
42729,20310
42729,57539
42729,46285
42729,56161
42729,95529
42729,68562
42729,38618
42729,68905
42729,38105
42729,118451
42729,57471
42729,86860
42729,20269
42729,30480
42729,73171
42729,44149
42729,18805
42729,51686
42729,34584
42729,47937
42729,44778
4488,29261
71214,29261
16610,28232
80476,28232
6405,28232
27742,28232
120112,39363
8380,39363
113670,39363
26232,39363
39363,124767
39363,115128
39363,104836
39363,12717
39363,113930
39363,23410
73538,23240
23240,10087
23240,59908
23240,32376
23240,114902
23240,121527
23240,67577
23240,85194
23240,111768
23240,112353
23240,11263
23240,119355
23240,89707
23240,122419
23240,51917
23240,109894
23240,79421
23240,8334
23240,110818
50688,41385
30399,41385
57404,41385
77342,41385
103511,41385
116261,41385
61089,41385
41385,15497
41385,83900
41385,23814
41385,58989
41385,72724
41385,91645
41385,55512
41385,105388
41385,45518
41385,15470
41385,86332
41385,90425
41385,37576
41385,67274
41385,11823
41385,17015
41385,30054
41385,30906
1738,78465
20033,56300
12714,56300
122199,56300
94210,56300
19344,56300
26115,56300
79811,56300
62987,56300
35566,56300
78479,56300
10711,61948
85665,61948
104283,61948
41864,61948
33040,61948
83281,61948
46910,61948
61948,98605
61948,116277
61948,67455
28588,116847
56855,116847
50657,30448
124518,30448
84302,30448
50300,30448
76114,30448
2741,30448
16209,30448
13634,30448
74378,30448
30448,54606
30448,88315
30448,92581
30448,77286
30448,15013
30448,19264
30448,103114
30448,13639
30448,50649
30448,12474
30448,9500
30448,8758
30448,19936
30448,51659
30448,61463
30448,35853
30448,39431
30448,21891
30448,50096
30448,120838
30448,11929
30448,58313
30448,15337
30448,85707
30448,94094
30448,89057
126282,89250
126282,13252
126282,63732
126282,50275
126282,88230
126282,115075
126282,44310
126282,62878
126282,54381
126282,55326
126282,54217
126282,79995
9512,2646
37121,2646
30116,2646
2646,105675
2646,24599
2646,68578
2646,108497
2646,17306
2646,75241
2646,117717
2646,74081
2646,127571
2646,112349
2646,124320
2646,17938
2646,114961
2646,9437
93226,98593
93226,90427
93226,69485
93226,54158
93226,65849
93226,109457
93226,124568
93226,99936
93226,16853
93226,104772
93226,29898
93226,106982
93226,37895
93226,105316
93226,7501
93226,120985
93226,104533
93226,26590
93226,30818
93226,120462
93226,100399
93226,94597
93226,18977
93226,97295
93226,74210
93226,58059
93226,118063
93226,25752
93226,81340
93226,98959
93226,76229
93226,112524
93226,67488
40338,69666
26752,69666
16587,69666
9639,69666
22414,69666
14578,69666
59427,69666
45517,69666
22400,69666
66211,69666
43385,69666
26064,69666
55354,69666
94678,69666
123345,69666
23013,69666
15867,69666
69666,74610
69666,98575
69666,8024
69666,115494
69666,39996
69666,109457
69666,582
69666,13852
69666,36384
69666,40591
69666,67605
69666,95773
69666,48648
69666,77452
69666,7774
69666,79500
28240,93137
93137,72906
93137,4903
93137,37830
93137,48757
93137,100352
104443,95377
65666,13855
49192,13855
106858,13855
96150,13855
121595,13855
15399,13855
110004,13855
34865,13855
68907,13855
118048,13855
26028,13855
5585,13855
30650,13855
16900,13855
13855,126315
13855,38521
13855,84713
13855,98321
13855,17677
13855,23175
13855,88443
13855,71217
13855,60192
13855,26164
13855,92130
13855,106833
13855,120549
13855,69290
13855,103353
13855,10040
13855,126717
13855,53851
13855,71487
13855,49075
13855,109904
13855,1581
13855,35938
13855,79303
13855,9978
13855,61433
13855,9949
13855,96312
23473,13521
13521,68586
13521,2405
13521,118242
13521,36412
13521,3734
13521,106262
13521,52477
13521,95823
27900,42042
100165,42042
13733,42042
83921,42042
114053,42042
43612,42042
47434,42042
118614,42042
86514,42042
51169,42042
68423,42042
745,42042
32975,42042
100190,42042
91763,42042
67555,42042
2341,42042
87491,42042
42042,86249
42042,58989
42042,5350
42042,59430
42042,85331
42042,100815
42042,68184
42042,9450
42042,111705
42042,1997
42042,105586
42042,70649
3106,20791
117734,20791
101076,20791
122468,20791
59706,20791
79757,20791
8874,20791
14821,20791
99658,20791
20791,28541
20791,29615
20791,45662
20791,113847
20791,101121
20791,115774
20791,51747
20791,24405
20791,24659
70462,118385
11691,118385
32708,118385
17554,118385
24129,118385
12529,118385
121402,118385
86387,118385
126012,118385
30310,118385
94251,118385
16662,118385
99,118385
2305,118385
118385,50578
118385,119440
118385,17363
118385,14167
118385,86841
118385,20441
118385,36508
118385,26802
118385,88497
118385,37412
118385,86782
118385,8829
118385,23861
118385,56897
118385,109551
118385,92969
118385,79053
118385,116185
41292,8305
69234,8305
59840,8305
88818,8305
90269,8305
10701,8305
104320,8305
29476,8305
35550,8305
83047,8305
124889,8305
16977,8305
57188,8305
101371,8305
95404,8305
67519,8305
75658,8305
5261,8305
87046,8305
97006,8305
29721,8305
48014,8305
109593,8305
103581,8305
107215,8305
22509,8305
57032,8305
7851,8305
109568,8305
83061,8305
8305,54538
8305,9386
8305,92284
8305,42336
8305,65642
8305,28986
8305,52081
8305,95986
8305,96046
8305,2687
8305,75855
8305,71306
8305,17093
8305,94740
8305,116849
8305,112118
8305,26035
8305,64720
8305,69115
8305,126389
8305,24659
8305,72855
53638,124312
40103,124312
124312,60824
124312,69674
124312,126307
124312,96936
124312,17306
124312,52616
124312,44719
124312,89779
124312,70448
124312,69090
124312,21126
124312,106620
124312,108505
124312,124818
124312,82137
124312,37176
124312,45923
124312,19573
124312,27088
124312,125674
124312,47832
124312,107426
50162,92979
50162,78817
50162,2274
50162,56349
50162,18260
50162,20464
50162,86159
50162,83490
50162,30225
50162,108523
50162,79606
50162,91163
50162,70379
50162,105091
50162,102727
50162,94559
50162,73784
3743,124523
10454,124523
25379,124523
45404,124523
122804,124523
100873,124523
55065,124523
38620,124523
62457,124523
2772,124523
124523,7193
124523,65254
124523,78674
124523,11840
124523,49641
124523,28752
124523,8795
124523,1347
124523,95833
124523,111705
124523,75909
124523,84960
124523,107932
124523,121747
124523,88567
124523,107335
124523,55929
124523,3514
124523,36896
124523,64929
124523,39901
34267,93693
66905,93693
100852,93693
15925,93693
43716,93693
77387,93693
118969,93693
53228,93693
111466,93693
103426,93693
83867,93693
52413,93693
79168,93693
80630,93693
38570,93693
113246,93693
109324,93693
73410,93693
104211,93693
44429,93693
92050,93693
58733,93693
10105,93693
3986,93693
39482,93693
75055,93693
123064,93693
10146,93693
103387,93693
93693,8979
93693,15207
93693,59338
93693,116655
93693,50767
93693,12628
93693,94562
93693,102804
93693,85328
93693,63412
93693,37957
37759,87793
90384,87793
74400,87793
118016,87793
87793,22256
87793,34172
87793,87836
87793,61778
87793,78432
87793,27761
87793,32942
87793,19159
87793,39017
87793,79695
46564,27803
46564,29708
46564,57372
46564,80802
46564,87632
46564,84797
46564,71211
46564,34239
46564,78369
46564,80982
46564,62301
46564,97211
46564,68830
46564,31443
35718,117394
32308,117394
130,117394
81472,117394
110735,117394
37831,117394
111991,117394
13788,117394
39748,117394
107026,117394
51097,117394
51433,117394
48898,117394
32855,117394
117394,70426
117394,23376
117394,19939
117394,1165
117394,108883
117394,5166
117394,11705
117394,5235
117394,98004
117394,125248
117394,89798
117394,121683
117394,83224
117394,57286
117394,115274
117394,3074
117394,4104
117394,13940
40855,7665
40855,11002
40855,105497
40855,42855
89914,125708
93512,125708
125708,18602
125708,24345
125708,92936
127576,17835
46941,7287
7287,76566
7287,25913
7287,39629
7287,110329
7287,122804
7287,99683
7287,116440
7287,42752
7287,58390
7287,38620
7287,108317
7287,18810
7287,6030
7287,68163
7287,4993
7287,105541
7287,72479
13253,101021
13253,57532
13253,19490
13253,83786
13253,19953
13253,117491
13253,119878
13253,15851
13253,89758
13253,59848
13253,99885
13253,60168
13253,104708
13253,3183
13253,78735
13253,63374
13253,968
13253,101486
13253,56704
13253,54222
73366,80458
25005,80458
11629,80458
108419,80458
89042,80458
49067,80458
124782,80458
109197,12320
