journal_id,journal,journal_embedding_0,journal_embedding_1,journal_embedding_2,journal_embedding_3,journal_embedding_4,journal_embedding_5,journal_embedding_6,journal_embedding_7,journal_embedding_8,journal_embedding_9,journal_embedding_10,journal_embedding_11,journal_embedding_12,journal_embedding_13,journal_embedding_14,journal_embedding_15,journal_embedding_16,journal_embedding_17,journal_embedding_18,journal_embedding_19,journal_embedding_20,journal_embedding_21,journal_embedding_22,journal_embedding_23,journal_embedding_24,journal_embedding_25,journal_embedding_26,journal_embedding_27,journal_embedding_28,journal_embedding_29,journal_embedding_30,journal_embedding_31,journal_embedding_32,journal_embedding_33,journal_embedding_34,journal_embedding_35,journal_embedding_36,journal_embedding_37,journal_embedding_38,journal_embedding_39,journal_embedding_40,journal_embedding_41,journal_embedding_42,journal_embedding_43,journal_embedding_44,journal_embedding_45,journal_embedding_46,journal_embedding_47,journal_embedding_48,journal_embedding_49,journal_embedding_50,journal_embedding_51,journal_embedding_52,journal_embedding_53,journal_embedding_54,journal_embedding_55,journal_embedding_56,journal_embedding_57,journal_embedding_58,journal_embedding_59,journal_embedding_60,journal_embedding_61,journal_embedding_62,journal_embedding_63,journal_embedding_64,journal_embedding_65,journal_embedding_66,journal_embedding_67,journal_embedding_68,journal_embedding_69,journal_embedding_70,journal_embedding_71,journal_embedding_72,journal_embedding_73,journal_embedding_74,journal_embedding_75,journal_embedding_76,journal_embedding_77,journal_embedding_78,journal_embedding_79,journal_embedding_80,journal_embedding_81,journal_embedding_82,journal_embedding_83,journal_embedding_84,journal_embedding_85,journal_embedding_86,journal_embedding_87,journal_embedding_88,journal_embedding_89,journal_embedding_90,journal_embedding_91,journal_embedding_92,journal_embedding_93,journal_embedding_94,journal_embedding_95,journal_embedding_96,journal_embedding_97,journal_embedding_98,journal_embedding_99,journal_embedding_100,journal_embedding_101,journal_embedding_102,journal_embedding_103,journal_embedding_104,journal_embedding_105,journal_embedding_106,journal_embedding_107,journal_embedding_108,journal_embedding_109,journal_embedding_110,journal_embedding_111,journal_embedding_112,journal_embedding_113,journal_embedding_114,journal_embedding_115,journal_embedding_116,journal_embedding_117,journal_embedding_118,journal_embedding_119,journal_embedding_120,journal_embedding_121,journal_embedding_122,journal_embedding_123,journal_embedding_124,journal_embedding_125,journal_embedding_126,journal_embedding_127
14,Journal of Hazardous Materials,1.1286837,-0.1621827,1.5440586,-0.2054048,2.807841,-0.40715623,1.1095674,-0.7986582,-0.16898371,0.20391501,-1.2427084,-0.5208373,-0.11859653,0.27704358,0.77573925,0.5622862,1.8177029,0.8486823,-0.012174604,-0.15412499,0.89221394,-0.08445167,-0.16970135,0.30544546,0.17337666,-0.11212254,1.0406041,0.4718428,-0.90829253,-0.14732574,0.053596552,-0.73691785,0.88806856,0.768563,0.36575747,0.46499258,0.014342899,0.41343403,-0.5657671,-0.17481741,0.41940886,-0.30667135,-0.2080013,-0.06241256,-0.45788702,-0.19771604,-0.13864367,-0.3573864,-0.12113351,-0.18617539,-0.15697305,0.029790215,0.025068117,-0.24309197,-0.46376783,0.12777942,-0.37275645,0.19371532,0.21763867,-0.09768982,-0.3860517,0.019441105,-0.02283722,-0.2982128,0.6190664,-0.24320225,-0.33950925,-0.23203884,0.0901364,-0.124918625,-0.17030871,0.11515473,0.017531676,0.07742477,-0.07485829,0.39498916,-0.14813253,0.39420488,0.021508522,0.3454338,-0.0007432307,-0.28303424,0.26705018,0.32468396,-0.09388421,0.05538192,0.1283793,0.1449826,-0.13977902,-0.31600353,0.08622142,-0.024480032,-0.033367593,0.4172742,0.071240745,0.14783274,-0.12659249,0.13173461,0.12770975,-0.4406478,0.42973658,0.29554462,-0.08520549,-0.3379295,-0.058363322,0.054093316,-0.33968285,-0.2115014,0.041010126,-0.028025663,-0.02568258,-0.15598695,-0.09330264,0.20929058,0.014748184,-0.046274032,0.0039911005,-0.21211396,-0.028034806,0.37911022,0.06653446,-0.24724196,0.16484255,0.32218006,-0.11970034,-0.16880494,-0.12914395,0.007825898
223,Science Bulletin,-1.1404942,0.991911,-0.49533206,0.8248301,0.76775783,-0.6491716,1.448373,1.8481865,0.049326815,0.15317,-0.062723465,-0.015607865,-0.56829345,0.7223257,-0.23780784,0.16557157,0.6049589,-0.5106692,0.20557956,0.08218744,0.18071617,-0.63920593,0.38774762,-0.16370614,0.45789665,-0.24688062,-0.5089933,0.09276569,-0.38473177,-0.13236205,-0.29910913,-0.19738175,-0.144322,0.13802472,0.33358362,0.019908072,-0.5256492,-0.42706636,0.46643534,-0.07220558,0.10225863,0.19086342,-0.1671721,0.013753233,0.16809538,-0.15879157,-0.47226465,-0.55327,-0.0026927162,-0.30502203,0.27667522,-0.3274713,-0.33431092,0.009126846,0.027820107,-0.09711708,0.87319756,0.20992477,-0.13375747,-0.27265918,0.41915658,-0.19979976,-0.45944485,0.01665521,-0.5540939,0.5235439,0.008244188,0.34781724,0.29739448,0.23429109,0.18739729,0.033649225,0.1693385,-0.05058067,0.24354179,0.2076707,-0.1450526,0.08885402,-0.43115598,-0.25545987,0.09916415,-0.25720105,0.19702403,-0.14074203,-0.030914754,-0.062144574,0.5866246,0.26371184,-0.13396193,0.3072297,-0.1533407,0.24608763,-0.08268659,0.2340086,-0.12532744,-0.16423275,-0.09937989,-0.3835674,0.11671637,0.20753941,0.43259487,0.29327658,0.08011593,0.07819528,-0.16443731,-0.06785218,-0.13979346,-0.040381838,0.014800914,0.18471263,0.33606854,0.26224363,0.24643396,-0.0055227145,0.2191712,-0.049862538,0.06669584,0.09565576,-0.29442376,0.18611445,0.16714454,0.25094163,0.087311216,-0.3463755,-0.04779154,-0.06585322,-0.025584595,0.15005787
52,Materials Science in Semiconductor Processing,3.3048778,-0.32795095,-0.43155396,-0.47374994,-0.40513468,-0.4210993,0.079935595,0.22037347,0.4334967,-1.2345139,0.2867477,0.18200056,0.15562014,0.5890616,-0.0074417973,0.030850865,1.6271446,0.021665618,0.2664883,-0.16837479,-0.7633391,0.070446625,-0.5852995,-0.7740021,-0.77431697,0.9459514,-0.31285822,-0.42021468,-0.39711213,1.0150064,1.0697032,0.3042003,-0.4537067,0.62889135,-0.71724135,-0.4676622,-0.51964265,-0.15802093,-0.14407903,0.042166494,0.6003686,-0.042373993,-0.11768375,-0.82964504,0.024688717,0.3219836,0.45816246,0.38210058,-0.16054016,0.29303774,-0.94219005,0.4755148,0.099391766,0.1416538,0.36615637,-0.040325787,-0.34800515,-0.1272949,-0.043092184,0.7852456,0.30523676,0.015549074,0.34786776,0.20486252,0.0131946895,0.16627431,0.64934695,-0.38468966,-0.048248935,-0.1351346,-0.13073465,-0.025826173,-0.5232173,0.26632282,-0.18540393,0.56741196,-0.41308576,-0.4383978,0.34459454,-0.11044336,-0.25150052,-0.3589828,-0.39827222,-0.12980737,0.27979615,0.23510598,0.7699197,-0.10603904,0.49488074,-0.12622987,-0.14552513,-0.06804263,-0.43454683,-0.33531538,-0.24885526,0.33969635,-0.14021832,-0.008695831,-0.31041166,-0.30831414,0.175495,0.05929857,0.004637007,0.07476479,-0.30925372,0.32516763,0.038718283,0.35654414,0.34739527,0.33021045,-0.3557363,-0.1788852,-0.13778268,-0.33226213,-0.1919111,0.46682146,-0.56706095,-0.43747553,-0.45034504,0.38290423,-0.26299414,-0.1672878,-0.0966359,0.042839296,0.10194252,0.1250713,0.18330897,-0.11313997
12,Journal of Photochemistry and Photobiology A-Chemistry,-0.43156514,-1.2614632,0.6467338,0.9764006,-0.43525457,1.2791003,1.0161976,0.035863016,0.32170886,-0.5789715,-0.84711146,1.0377269,1.0269926,-0.108684584,-1.3162478,1.7383927,0.1590699,-0.19192751,-1.4687319,0.8235187,0.010643737,-1.9107072,-0.86645234,0.24402145,-1.1097934,0.069988586,0.5348237,-1.575241,-0.2539509,0.47512123,0.16329809,0.11811398,-0.67375755,-0.12680319,0.52331954,0.5299873,-0.90455514,0.057577394,0.13971183,0.6325728,-0.39102143,0.4826358,0.6416298,0.46954224,0.026710745,0.18098947,-0.030702014,-0.7072899,-0.54122925,-0.047438715,0.015333785,-0.5474052,-0.11810918,0.029343328,-0.7811635,0.43471518,-0.46798974,-0.60462546,0.19281876,0.23155305,-0.049683366,0.13474512,-0.109301925,0.07800742,0.4391192,0.18418883,-0.01467346,-0.3781651,0.09781724,-0.30579254,-0.7313077,-0.27259856,0.674414,-0.1297936,-0.16272572,0.19661821,-0.16404651,-0.18495187,0.120958574,0.1597892,0.3757475,0.50002515,0.017633246,-0.25243473,0.2650666,-0.3245022,-0.12661023,-0.3383108,-0.011847296,0.3170558,0.13180798,0.052466627,-0.114324965,0.09631706,0.16464014,-0.37135828,0.109385006,0.04647085,-0.05836819,-0.10072544,-0.32375154,0.0050722845,-0.27680406,-0.40870893,-0.28039354,-0.13594584,-0.13080125,-0.11270619,0.08260905,-0.37575853,-0.14523406,-0.0358782,-0.121671215,-0.08206342,0.21457551,0.0005182552,0.12800589,0.05136829,0.093169406,0.12364689,-0.20990568,-0.014231006,-0.05773602,-0.12853608,-0.19177717,0.305755,-0.29947323,-0.1720534
9,Angewandte Chemie International Edition,-1.8995386,0.26685703,-1.4739882,0.78021795,0.5542546,0.47596395,-0.6376124,-1.170792,-0.621499,0.8513856,0.11361279,0.122173674,1.4861102,-0.13210255,0.45882818,0.07800678,-0.882079,0.2540452,1.7517604,-0.5638818,0.8814107,0.16543373,0.5194867,-0.23226315,0.17777233,-0.9318445,0.06373992,0.051082805,0.35112283,-0.05899878,-0.75959396,-0.50682646,0.043677032,-0.24820526,0.54558706,-0.0028853843,0.45799133,-0.38830507,-0.15141495,-0.3281463,-0.03402897,0.6653753,-0.5109173,0.13407113,0.874437,0.50281614,0.5100535,-1.0709263,0.9092906,0.8983051,1.289924,0.52214915,0.33235893,0.9296145,-0.3851286,0.47315583,-0.21628758,0.5091232,1.108936,0.06458147,-0.3945634,0.32488903,-0.19814746,0.5312032,-0.16012898,0.34004274,-0.31557205,0.024622079,0.08994074,0.20348302,0.039145645,0.11167669,0.544155,-0.7257556,-0.3733965,0.1987277,0.31899533,0.43068007,-0.026079852,-0.27255145,0.62045264,0.13325566,-0.21460319,-0.43827546,0.299666,0.94052076,-0.086673416,0.31179333,-0.72258717,-0.24677065,-0.1791666,0.036963917,0.64403975,-0.5546671,-0.5338835,0.5259735,0.09434036,-0.44205773,0.3509606,0.20846865,0.05870934,-0.09912828,-0.12973699,-0.23474945,-0.2595147,-0.05562567,-0.23959775,-0.17670982,-0.2291578,-0.30058697,-0.0017182344,0.04260682,-0.53075933,-0.76592827,0.3936491,0.051087085,-0.43550068,-0.1138468,-0.10683958,-0.11730361,-0.0572591,0.13435897,0.2575983,0.192007,-0.0018739142,0.17672649,-0.09989559,-0.17404276
88,Analytica Chimica Acta,-2.7816296,-0.18744424,-1.9191352,0.71637356,0.88902754,1.4258366,-0.33206114,-0.37644947,0.42615247,-0.71771485,0.4281886,-1.5613166,0.87944776,0.50705755,-0.1779951,-0.36212257,-0.8481516,1.0823762,0.8264947,-1.2168341,1.0324603,-0.33062458,-0.47749373,-1.433847,-1.1177669,2.1786687,0.14153816,0.018906254,0.35503393,-1.4288163,-0.48624116,0.25369486,-0.8762008,0.90592146,-0.4409921,0.63975495,0.31128615,0.42109993,-0.6066374,-1.0868831,0.173364,0.56883675,-0.3906218,-0.24041216,0.0233221,0.087262906,-0.71545047,-0.13629122,-0.51409024,0.4055689,0.16475873,0.04539727,1.0033273,-0.10154415,-0.2136338,-0.36996403,0.48458087,0.43278033,-0.15422742,0.7059294,0.117016114,0.17854185,0.8554118,-0.6148981,0.37829596,0.079860255,0.09864416,-0.1168,-0.09784158,0.34698015,-0.13191108,0.35818392,-0.83608836,0.7810126,0.33715013,0.3285925,0.42657533,0.042155508,-0.66349775,0.64590853,-0.012345077,0.31819892,-0.22464764,0.11335442,0.030702902,-0.17871322,-0.27425355,-0.5014349,0.38663483,-0.15393834,0.015156417,-0.23587035,-0.4435715,0.44743514,0.34761634,-0.14926887,0.1954199,-0.7074145,0.25611734,0.028873976,-0.11834673,-0.5267435,0.12509032,0.022524118,0.10190609,-0.081240095,0.22693083,-0.29103643,0.41791797,0.19850805,-0.048241664,-0.1643715,-0.08832104,0.15335771,0.0568786,-0.1699434,-0.5431641,0.14049554,0.17481387,0.27543968,0.22483276,0.05628486,0.20314069,-0.37026343,-0.23450147,-0.06564176,-0.41746584,-0.11062954
615,Sensors and Actuators A-Physical,0.7387972,1.04135,-1.503899,-0.83388263,-0.5084074,0.7329178,0.060161356,0.121115975,2.414767,-1.0344105,0.40868586,-1.3339301,0.068000965,0.4813038,0.066026025,0.6648749,-0.9989924,0.56094056,0.5830476,0.6683111,0.09048106,0.013901693,0.52140653,-0.7685643,-0.9271198,-0.48976517,0.014432007,0.6326972,-1.5486027,0.10393399,-0.81026787,1.246443,0.29868546,0.08436902,-0.7878074,-0.4830185,-0.15212278,-0.78172994,-0.22696684,0.66092,0.14851087,-0.12167607,1.4818119,0.6812632,-0.8510446,-0.4011145,-1.0173821,0.4108478,0.09090635,-0.3652828,-0.42336866,-0.37046108,0.29625446,-0.7262408,-0.72551435,-0.27223805,-0.6667842,0.3532248,-0.117716506,-0.9124846,-0.61807907,0.06606565,0.38338843,0.18435116,0.036568962,0.037098072,-0.38829854,0.38218528,-0.031994455,0.31443983,0.33783212,-0.11207302,0.20313533,0.0363467,-0.5964264,-0.46950704,0.29088372,-0.23046522,0.370797,-0.029179925,-0.062433522,0.085781336,-0.007274277,-0.07122196,-0.1820876,0.15001372,0.36284214,0.26880014,-0.04404821,0.13886124,0.035328824,0.04699791,0.40977636,0.25487503,0.005562959,0.17616746,-0.24934551,0.2878141,0.44310194,0.16258352,0.10144857,0.24449365,-0.20809303,-0.07539292,-0.097708575,0.31730834,0.26656324,0.28093117,0.1378585,0.46116558,-0.04276078,-0.181554,-0.24750134,-0.0016815173,-0.074403174,0.31067917,-0.53331137,-0.37826884,-0.07220042,-0.43453136,0.024655705,0.049312953,0.06294898,0.050336294,0.04981666,-0.019118585,0.2993343,-0.20036057
39,Chemical Communications,0.057534616,-1.3661005,1.0752769,0.7358205,-1.3274502,-1.7901304,0.7537541,-1.4985591,1.3803176,0.15219362,0.050692882,-0.95983267,0.5839985,1.4406979,-0.90930295,1.4377663,-0.1051089,0.09850339,-1.035635,0.53156227,1.2740848,0.71600556,-0.44811612,0.3485213,1.0096612,-0.21951173,-1.1691397,1.3907833,0.3341099,1.494947,0.14337566,0.99190843,0.086648576,-0.08608591,0.0039700232,-1.1467646,0.1798307,0.29889637,0.05611353,-0.5086099,-0.16234213,-0.35624942,-0.6700293,-0.37518892,-0.7020694,-0.3541051,0.32439393,0.04933473,0.05778139,0.21693419,1.1138029,-0.58384085,0.01900195,0.05336208,-0.66077816,0.06356146,-0.5737429,-0.26483032,0.17756514,0.094888486,-0.0043965518,0.28361297,-0.46067485,-0.4496271,0.01256541,-0.13870382,0.39274547,0.35394892,-0.25434187,-0.06709129,-0.22196665,-0.14474554,-0.11648092,0.052505784,0.045191884,-0.12459636,-0.15973005,0.14509921,0.0018031095,0.15827908,0.2360069,-0.04992113,0.12671068,0.1348708,-0.30093023,-0.25502867,0.042809416,-0.19362545,0.004593746,-0.01318545,0.25470445,-0.11404559,-0.31576085,-0.008634435,0.30533946,-0.0988953,0.013672263,-0.17293602,-0.20611206,-0.038286906,-0.07065723,0.22557642,0.25601617,0.014243664,0.27437812,0.20663162,-0.0011691784,0.0063782195,-0.21090354,-0.19686313,0.029137233,-0.06527887,0.04349133,-0.049359728,-0.11072658,-0.011896611,-0.121905744,0.035393026,0.28725308,-0.13052681,-0.08902787,-0.07586816,-0.18106721,0.13331261,-0.23425733,0.11652856,0.18711911,-0.1102748
569,2010 4th International Conference on Bioinformatics and Biomedical Engineering,-1.493298,0.31363043,-1.2348083,-1.0269303,-1.169221,-1.2529145,-0.3388817,0.7826545,0.17176926,0.29871196,0.36531886,-0.069035396,0.27415448,-1.1982392,0.28267437,-0.5165561,0.2360895,-0.38735285,0.32395506,0.4916735,-0.20618135,0.40150607,0.1300027,0.7085306,0.22630584,-0.4019611,0.25944895,-0.41601357,-0.21101514,-0.060423195,-0.026564699,0.22999156,0.45877153,-0.33577606,-0.39524737,0.1514486,0.5474915,-0.49880973,0.10468865,-0.15020946,0.2965456,0.7931873,0.18677144,-0.063228115,0.1962244,-0.5218252,-0.60961014,0.41313264,0.017583288,-0.0076445243,0.8913128,0.23346068,0.21841027,0.2469697,-0.10307152,0.25720653,-0.2179226,0.063716434,0.2935413,0.28542975,-0.19995378,-0.25664076,-0.47024235,0.17538282,-0.12142912,0.1234738,0.1752359,-0.23796906,-0.18654713,-0.069529444,0.023461701,0.20096001,-0.09378015,0.22639164,-0.21514374,-0.14513755,-0.14728786,-0.04928331,0.18478824,0.122535914,-0.20855933,-0.42870536,0.3578527,-0.27791396,-0.15916434,0.34867355,-0.06514899,-0.14853467,-0.31866747,-0.25243378,-0.21810792,-0.19242004,-0.15898284,0.11457564,0.32839584,-0.24884027,0.22688977,-0.025518531,-0.25655454,-0.049539797,0.25615788,0.2838719,-0.24891369,-0.16889624,-0.105346635,0.2342845,0.036351055,0.13201372,-0.102156505,0.10010975,-0.22908847,-0.21411963,0.03981755,0.061485447,0.057895266,-0.27660406,-0.14523068,0.029273642,0.06844586,-0.20758711,-0.004280823,-0.078333184,0.039394677,0.14598335,-0.22993751,0.007814246,-0.1500928,-0.16658519
6,Chemical Engineering Journal,0.64220804,-0.930345,2.1341975,0.42770353,0.165281,-2.919895,0.3859528,0.058750078,-0.5789784,0.23427993,0.06934256,-0.13501288,-0.09079637,-0.65412647,-1.2079636,1.0404804,-0.3723879,0.41166753,0.5722699,-0.5404766,0.4653466,0.2144759,0.36081293,0.79663473,0.16727394,0.38550678,-0.4655319,0.3014528,-0.06008581,0.53285795,0.57560533,-0.20319018,-0.026141167,0.38371712,0.36180842,0.22417878,0.3400934,0.20444393,0.20131227,-0.28352746,-0.099105634,0.123696074,0.022377547,-0.27138174,0.1420487,-0.4079563,0.13638765,0.051771868,0.19562624,0.0030111095,0.16631606,0.03257301,0.042254135,-0.13891366,-0.5260375,-0.1988712,-0.12939648,0.035413645,-0.043635942,-0.13139561,0.15237543,0.06871322,-0.31039795,-0.047471948,0.23818587,0.1918932,-0.14200482,-0.21292166,0.09765466,0.008073001,0.09167116,-0.065823965,0.18696208,0.25537017,-0.0062416294,-0.07286904,-0.26225284,-0.1813249,0.021470875,0.088343844,-0.23101592,-0.24631324,-0.06736226,0.172079,0.15408827,0.06222452,0.010588629,-0.16417241,0.006882791,-0.019399397,0.30374116,0.12696995,-0.006558443,-0.11934776,-0.024711814,0.163173,0.026935436,-0.27292508,-0.055069756,0.14783625,0.13328479,0.07221961,0.031004481,0.024308944,0.0685496,0.14136136,0.10668697,0.044993907,0.0061298157,0.092034884,0.17405447,0.0486327,0.10228232,-0.0058060265,0.06822316,0.03397554,-0.14679332,-0.004710976,-0.10149325,0.15332319,-0.023690369,0.063222796,0.120803066,-0.09584392,0.057812683,-0.024737896,0.06987493,-0.0068653943
